genome_id	scientific_name	kingdom	phylum	class	order	family	genus	species
GCF_000198515.1	gamma proteobacterium HdN1	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	gamma proteobacterium HdN1
GCF_004296535.1	endosymbiont of Euscepes postfasciatus	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	endosymbiont of Euscepes postfasciatus
GCF_000801295.1	endosymbiont of unidentified scaly snail isolate Monju	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	endosymbiont of unidentified scaly snail isolate Monju
GCF_003151175.1	Gammaproteobacteria bacterium ESL0073	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	Gammaproteobacteria bacterium ESL0073
GCF_003072645.1	Gammaproteobacteria bacterium DM2	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	Gammaproteobacteria bacterium DM2
GCF_000342265.1	beta proteobacterium CB	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA	beta proteobacterium CB
GCF_001953215.1	Betaproteobacteria bacterium GR16-43	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA	Betaproteobacteria bacterium GR16-43
GCF_005697395.1	TM7 phylum sp. oral taxon 952	Bacteria	Candidatus Saccharibacteria	NA	NA	NA	NA	TM7 phylum sp. oral taxon 952
GCF_004102945.1	Vampirococcus sp. LiM	Bacteria	Candidatus Omnitrophica	NA	NA	NA	Candidatus Vampirococcus	Candidatus Vampirococcus archaeovorus
GCF_000972765.1	Verrucomicrobia bacterium IMCC26134	Bacteria	Verrucomicrobia	NA	NA	NA	NA	Verrucomicrobia bacterium IMCC26134
GCF_004299845.1	Verrucomicrobia bacterium S94	Bacteria	Verrucomicrobia	NA	NA	NA	NA	Verrucomicrobia bacterium S94
GCF_007741535.1	Planctomycetes bacterium K22_7	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium K22_7
GCF_007741495.1	Planctomycetes bacterium FF011L	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium FF011L
GCF_007741555.1	Planctomycetes bacterium K23_9	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium K23_9
GCF_007741515.1	Planctomycetes bacterium HG15A2	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium HG15A2
GCF_007753455.1	Planctomycetes bacterium K2D	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium K2D
GCF_007752135.1	Planctomycetes bacterium Q31a	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Q31a
GCF_007748035.1	Planctomycetes bacterium Pan181	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan181
GCF_007748055.1	Planctomycetes bacterium Pan216	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan216
GCF_007748075.1	Planctomycetes bacterium Pan265	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan265
GCA_007747015.1	Planctomycetes bacterium CA11	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium CA11
GCF_007751715.1	Planctomycetes bacterium CA51	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium CA51
GCF_007747995.1	Planctomycetes bacterium Mal52	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Mal52
GCF_007750395.1	Planctomycetes bacterium Pla110	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pla110
GCF_007750655.1	Planctomycetes bacterium Pla163	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pla163
GCF_007750855.1	Planctomycetes bacterium Pla175	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pla175
GCF_007751035.1	Planctomycetes bacterium Pla85_3_4	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pla85_3_4
GCF_007748095.1	Planctomycetes bacterium Pla133	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pla133
GCF_007751255.1	Planctomycetes bacterium Pla86	Bacteria	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pla86
